NQUEST,ANASC,ETA,Q
505424,2001,3,3
505425,1938,66,3
505430,1959,45,3
505430,1965,39,1
505430,1996,8,3
505433,1937,67,2
505433,1940,64,2
505436,1960,44,1
505436,1991,13,3
505439,1953,51,3
505439,1953,51,2
505439,1976,28,1
505442,1920,84,3
505453,1954,50,2
505453,1955,49,2
505453,1983,21,3
505453,1991,13,3
505454,1940,64,3
505463,1936,68,3
505463,1942,62,3
505469,1960,44,2
505469,1931,73,2
505469,1965,39,2
505477,1967,37,1
505477,1958,46,1
505477,1998,6,3
505486,1913,91,3
505491,1929,75,3
505491,1937,67,3
505492,1928,76,3
505492,1929,75,3
505493,1935,69,3
505498,1932,72,3
505498,1958,46,1
505502,1932,72,3
505502,1938,66,3
505508,1967,37,1
505508,1967,37,1
505508,1992,12,3
505508,1996,8,3
505513,1952,52,1
505517,1946,58,1
505517,1942,62,3
505523,1961,43,1
505523,1985,19,1
505523,1990,14,3
505524,1943,61,3
505524,1946,58,3
505525,1945,59,3
505525,1949,55,2
505534,1950,54,1
505534,1961,43,3
505534,1993,11,3
505540,1925,79,3
505548,1932,72,3
505550,1921,83,3
505566,1970,34,2
505566,1929,75,3
505576,1930,74,3
505576,1938,66,1
505594,1948,56,2
505594,1954,50,1
505594,1979,25,3
505594,1983,21,3
505606,1948,56,1
505606,1951,53,1
505606,1987,17,3
505610,1970,34,2
505610,1928,76,3
505655,1951,53,2
505655,1953,51,3
505655,1974,30,1
505655,1979,25,1
505672,1944,60,3
505672,1946,58,3
505672,1975,29,1
505681,1938,66,3
505703,1925,79,3
505703,1929,75,3
505749,1944,60,3
505749,1949,55,2
505768,1960,44,1
505768,1964,40,1
505768,1983,21,1
505768,1986,18,1
505768,1992,12,3
505771,1932,72,3
505771,1938,66,3
505798,1960,44,2
505798,1964,40,3
505798,1993,11,3
505798,1997,7,3
505806,1927,77,3
505806,1956,48,1
505810,1945,59,2
505810,1958,46,3
505810,1981,23,1
505810,1991,13,3
505816,1953,51,1
505816,1951,53,3
505818,1960,44,2
505818,1961,43,1
505818,1987,17,3
505818,1992,12,3
505820,1945,59,1
505820,1945,59,3
505820,1983,21,1
505830,1973,31,1
505830,1976,28,1
505830,1997,7,3
505833,1941,63,3
505839,1970,34,1
505839,1970,34,1
505850,1934,70,3
505881,1941,63,3
505881,1940,64,3
505881,1968,36,1
505972,1919,85,3
505979,1928,76,3
506007,1930,74,3
506007,1930,74,3
506025,1938,66,3
506025,1947,57,1
506100,1933,71,3
506100,1933,71,3
506107,1962,42,1
506107,1957,47,1
506107,1981,23,1
506107,1983,21,2
506107,1996,8,3
506112,1929,75,3
506112,1932,72,3
506115,1950,54,3
506126,1932,72,3
506126,1940,64,3
506126,1973,31,1
506126,1964,40,1
506132,1959,45,2
506132,1961,43,3
506132,1985,19,3
506132,1993,11,3
506134,1952,52,2
506134,1953,51,1
506134,1981,23,1
506134,1986,18,3
506152,1937,67,3
506152,1975,29,1
506153,1940,64,3
506153,1944,60,3
506157,1930,74,3
506157,1938,66,3
506157,1972,32,1
506162,1927,77,3
506162,1934,70,3
506175,1953,51,1
506184,1946,58,3
506184,1947,57,1
506184,1976,28,1
506184,1973,31,1
506185,1936,68,3
506185,1925,79,3
506195,1925,79,3
506294,1936,68,3
506294,1940,64,3
506300,1929,75,3
506300,1933,71,3
506374,1939,65,3
506380,1950,54,1
506380,1978,26,3
506383,1933,71,3
506385,1966,38,3
506385,1928,76,3
506385,1932,72,3
506385,1961,43,1
506386,1939,65,3
506386,1938,66,3
506386,1981,23,1
506389,1948,56,2
506389,1954,50,3
506389,1973,31,3
506396,1969,35,2
506396,1970,34,3
506396,2001,3,3
506402,1942,62,3
506402,1948,56,3
506402,1981,23,1
506410,1968,36,1
506410,1970,34,1
506410,1996,8,3
506410,1999,5,3
506411,1943,61,3
506411,1968,36,1
506411,1978,26,1
506413,1965,39,1
506413,1970,34,1
506413,2001,3,3
506417,1936,68,3
506418,1940,64,3
506418,1927,77,3
506420,1921,83,3
506429,1964,40,1
506429,1972,32,1
506429,1997,7,3
506429,2000,4,3
506439,1940,64,3
506439,1941,63,3
506439,1972,32,3
506446,1939,65,3
506446,1946,58,1
506446,1974,30,1
506458,1964,40,1
506458,1964,40,1
506458,1991,13,3
506458,2001,3,3
506459,1920,84,3
506459,1928,76,3
506472,1952,52,1
506478,1924,80,3
506492,1954,50,1
506492,1966,38,2
506492,1989,15,3
506499,1915,89,3
506510,1943,61,3
506512,1932,72,3
506512,1941,63,3
506520,1948,56,3
506520,1946,58,3
506520,1975,29,3
506520,1979,25,3
506527,1932,72,3
506527,1937,67,3
506531,1947,57,3
506531,1949,55,3
506531,1974,30,1
506531,1978,26,1
506549,1941,63,1
506549,1974,30,1
506565,1949,55,1
506565,1951,53,1
506565,1976,28,2
506565,1980,24,3
506565,1987,17,3
506591,1937,67,3
506591,1939,65,3
506591,1979,25,1
506601,1921,83,3
506601,1925,79,3
506608,1933,71,3
506610,1950,54,1
506610,1958,46,1
506610,1982,22,1
506610,1990,14,3
506610,1991,13,3
506613,1930,74,3
506613,1928,76,3
506616,1935,69,3
506619,1940,64,3
506619,1932,72,3
506623,1939,65,3
506623,1969,35,2
506628,1952,52,1
506628,1951,53,1
506628,1983,21,3
506628,1985,19,3
506628,1990,14,3
506633,1953,51,1
506643,1935,69,3
506643,1938,66,3
506643,1971,33,3
506647,1964,40,3
506647,1963,41,2
506647,1992,12,3
506647,2000,4,3
506655,1950,54,1
506655,1953,51,3
506655,1975,29,2
506655,1983,21,3
506657,1967,37,2
506657,1970,34,1
506657,1997,7,3
506657,2001,3,3
506666,1969,35,2
506666,1941,63,3
506680,1940,64,3
506680,1945,59,3
506680,1970,34,3
506715,1945,59,1
506715,1946,58,1
506715,1977,27,3
506715,1978,26,3
506729,1939,65,3
506729,1923,81,3
506731,1914,90,3
506733,1939,65,3
506733,1918,86,3
506736,1940,64,3
506736,1941,63,3
506736,1969,35,2
506738,1965,39,1
506738,1970,34,3
506738,1992,12,3
506738,1998,6,3
506740,1937,67,3
506740,1943,61,3
506740,1969,35,3
506740,1975,29,1
506742,1941,63,3
506742,1946,58,3
506742,1986,18,3
506745,1933,71,3
506745,1937,67,3
506753,1951,53,1
506753,1952,52,1
506753,1982,22,3
506758,1935,69,3
506758,1936,68,3
506758,1975,29,1
506759,1941,63,2
506759,1947,57,2
506760,1951,53,1
506760,1956,48,1
506760,1980,24,3
506760,1989,15,3
506767,1936,68,3
506767,1937,67,3
506772,1942,62,3
506772,1956,48,1
506772,1980,24,3
506772,1989,15,3
506772,1922,82,3
506778,1925,79,3
506778,1926,78,3
506782,1936,68,3
506782,1961,43,1
506783,1920,84,3
506785,1943,61,3
506785,1948,56,3
506785,1969,35,1
506798,1950,54,1
506798,1955,49,1
506798,1977,27,2
506798,1981,23,1
506799,1951,53,2
506799,1940,64,3
506799,1976,28,1
506849,1936,68,3
506849,1934,70,3
506849,1969,35,3
506863,1943,61,1
506863,1971,33,1
506870,1950,54,2
506870,1965,39,2
506870,1991,13,3
506870,1998,6,3
506885,1940,64,3
506885,1951,53,1
506885,1976,28,3
506889,1938,66,3
506889,1939,65,3
506889,1940,64,3
506892,1921,83,3
506894,1949,55,3
506894,1956,48,1
506894,1980,24,3
506894,1987,17,3
506912,1945,59,1
506912,1952,52,3
506912,1981,23,1
506920,1960,44,3
506920,1959,45,1
506920,1981,23,1
506920,1994,10,3
506920,2001,3,3
506920,1922,82,3
506974,1949,55,2
506974,1978,26,1
506979,1934,70,3
506979,1942,62,3
506997,1937,67,3
506997,1941,63,3
506997,1964,40,2
506997,1965,39,1
506997,1967,37,1
506997,1964,40,1
506997,1996,8,3
506997,1998,6,3
507018,1963,41,1
507018,1961,43,1
507018,1994,10,3
507018,1998,6,3
507023,1922,82,3
507023,1938,66,3
507037,1955,49,1
507037,1961,43,1
507037,1985,19,3
507037,1988,16,3
507078,1937,67,3
507078,1941,63,3
507078,1993,11,3
507078,2001,3,3
507081,1961,43,1
507081,1967,37,1
507081,1992,12,3
507081,1994,10,3
507090,1941,63,3
507090,1941,63,3
507091,1921,83,3
507091,1963,41,1
507105,1928,76,3
507105,1931,73,3
507105,1961,43,1
507111,1927,77,3
507138,1932,72,3
507138,1932,72,3
507147,1950,54,3
507147,1954,50,1
507147,1977,27,1
507147,1985,19,3
507147,1922,82,3
507151,1938,66,3
507151,1940,64,3
507157,1932,72,3
507162,1967,37,1
507162,1957,47,1
507162,1997,7,3
507168,1922,82,3
507172,1926,78,3
507172,1930,74,3
507175,1950,54,1
507175,1953,51,3
507175,1980,24,1
507175,1977,27,1
507179,1935,69,3
507179,1937,67,3
507181,1917,87,3
507181,1923,81,3
507182,1939,65,1
507182,1941,63,3
507182,1975,29,1
507184,1920,84,3
507184,1919,85,3
507185,1930,74,3
507185,1963,41,1
507185,1966,38,1
507185,1987,17,3
507185,1996,8,3
507190,1950,54,2
507190,1951,53,3
507190,1978,26,2
507190,1980,24,2
507190,1981,23,1
507260,1968,36,1
507260,1969,35,3
507260,1989,15,3
507260,1990,14,3
507260,2002,2,3
507270,1949,55,2
507270,1951,53,2
507270,1977,27,2
507270,1980,24,3
507282,1965,39,2
507282,1961,43,2
507282,1994,10,3
507282,1999,5,3
507282,2001,3,3
507287,1972,32,1
507287,1914,90,3
507303,1949,55,3
507303,1950,54,3
507303,1976,28,1
507304,1976,28,1
507304,1950,54,3
507315,1946,58,2
507315,1948,56,3
507315,1977,27,1
507315,1982,22,1
507316,1938,66,3
507316,1940,64,3
507319,1938,66,3
507322,1965,39,1
507322,1968,36,1
507322,1995,9,3
507322,1997,7,3
507329,1960,44,1
507332,1970,34,1
507332,1971,33,1
507332,2003,1,3
507336,1948,56,3
507336,1915,89,3
507336,1953,51,1
507336,1984,20,3
507336,1987,17,3
507359,1938,66,3
507359,1941,63,3
507359,1969,35,1
507360,1954,50,2
507360,1952,52,1
507360,1988,16,3
507372,1952,52,1
507374,1936,68,3
507385,1964,40,1
507385,1965,39,1
507385,1996,8,3
507401,1949,55,2
507401,1948,56,2
507401,1981,23,2
507413,1926,78,3
507418,1924,80,3
507419,1949,55,3
507419,1958,46,2
507419,1981,23,3
507419,1985,19,1
507421,1944,60,3
507421,1946,58,3
507425,1952,52,1
507425,1954,50,2
507425,1980,24,1
507425,1990,14,3
507426,1925,79,3
507426,1935,69,3
507431,1968,36,1
507431,1971,33,3
507431,2000,4,3
507431,2002,2,3
507435,1938,66,3
507435,1937,67,3
507438,1954,50,2
507438,1915,89,3
507438,1956,48,2
507438,1986,18,3
507438,1990,14,3
507438,1998,6,3
507441,1959,45,2
507441,1955,49,2
507441,1997,7,3
507444,1956,48,1
507444,1964,40,1
507444,1987,17,3
507451,1970,34,1
507451,1969,35,1
507451,1991,13,3
507451,1996,8,3
507451,1998,6,3
507455,1945,59,3
507455,1942,62,3
507455,1974,30,1
507462,1969,35,1
507462,1964,40,1
507462,1996,8,3
507462,1999,5,3
507462,2001,3,3
507477,1943,61,3
507477,1948,56,3
507480,1951,53,1
507480,1958,46,2
507480,1983,21,3
507480,1991,13,3
507482,1949,55,3
507482,1952,52,1
507490,1967,37,1
507501,1960,44,1
507501,1964,40,2
507501,1988,16,3
507501,1991,13,3
507502,1933,71,3
507502,1936,68,3
507502,1912,92,3
507505,1935,69,3
507505,1941,63,3
507505,1966,38,2
507509,1926,78,3
507509,1928,76,3
507513,1966,38,1
507513,1970,34,2
507513,1996,8,3
507518,1957,47,1
507518,1954,50,1
507518,1979,25,1
507519,1945,59,3
507519,1949,55,3
507519,1973,31,1
507519,1979,25,1
507519,1928,76,3
507526,1953,51,1
507526,1945,59,1
507526,1980,24,2
507526,1989,15,3
507529,1963,41,1
507529,1960,44,2
507529,1929,75,3
507534,1955,49,1
507534,1932,72,3
507541,1961,43,1
507541,1967,37,1
507541,1997,7,3
507541,2000,4,3
507542,1962,42,1
507542,1963,41,3
507542,1995,9,3
507542,1997,7,3
507544,1953,51,1
507544,1955,49,1
507544,1987,17,3
507544,1994,10,3
507547,1935,69,3
507547,1940,64,3
507547,1971,33,3
507548,1921,83,3
507548,1919,85,3
507552,1969,35,2
507552,1973,31,1
507552,1999,5,3
507552,2004,0,3
507554,1942,62,3
507554,1946,58,3
507556,1923,81,3
507556,1917,87,3
507557,1932,72,3
507565,1940,64,3
507565,1944,60,3
507573,1942,62,3
507573,1943,61,3
507580,1963,41,1
507580,1963,41,1
507580,1984,20,2
507580,1987,17,3
507588,1952,52,3
507594,1939,65,3
507594,1938,66,3
507595,1956,48,1
507595,1961,43,1
507595,1989,15,3
507596,1966,38,1
507596,1973,31,1
507598,1946,58,3
507598,1951,53,3
507598,1976,28,1
507599,1934,70,3
507599,1940,64,3
507602,1938,66,3
507605,1934,70,3
507605,1936,68,3
507605,1959,45,1
507615,1949,55,1
507617,1960,44,1
507617,1962,42,3
507617,1988,16,3
507617,1993,11,3
507622,1954,50,3
507626,1964,40,1
507626,1973,31,1
507626,1992,12,3
507626,1997,7,3
507629,1930,74,3
507637,1967,37,2
507637,1929,75,3
507637,1958,46,2
507637,1990,14,3
507637,1988,16,3
507638,1949,55,3
507640,1938,66,3
507640,1944,60,3
507644,1951,53,1
507644,1925,79,3
507644,1951,53,3
507644,1986,18,3
507644,1976,28,1
507644,1998,6,3
507644,2003,1,3
507656,1939,65,3
507663,1950,54,1
507663,1922,82,3
507663,1924,80,3
507663,1956,48,3
507663,1986,18,3
507664,1968,36,3
507664,1966,38,1
507664,1988,16,3
507674,1948,56,3
507674,1946,58,1
507674,1977,27,2
507675,1950,54,3
507675,1949,55,1
507675,1975,29,1
507675,1981,23,1
507680,1926,78,3
507681,1963,41,2
507681,1964,40,2
507681,1995,9,3
507681,2001,3,3
507690,1934,70,3
507690,1959,45,3
507691,1948,56,1
507693,1969,35,3
507693,1917,87,3
507693,1930,74,3
507693,1937,67,3
507699,1921,83,3
507702,1929,75,3
507712,1960,44,1
507712,1967,37,2
507712,1981,23,3
507712,1998,6,3
507714,1928,76,3
507717,1964,40,1
507717,1967,37,1
507717,1995,9,3
507717,2001,3,3
507720,1922,82,3
507724,1940,64,3
507728,1951,53,3
507728,1950,54,1
507728,1979,25,1
507732,1960,44,3
507732,1956,48,1
507732,1985,19,3
507732,1990,14,3
507734,1942,62,3
507734,1943,61,3
507746,1927,77,3
507746,1920,84,3
507747,1936,68,3
507747,1967,37,1
507750,1971,33,1
507750,1973,31,3
507750,2001,3,3
507752,1953,51,1
507752,1954,50,1
507752,1989,15,3
507752,1923,81,3
507823,1947,57,1
507823,1977,27,3
507823,1986,18,3
507839,1966,38,3
507839,1961,43,1
507839,1998,6,3
507843,1963,41,2
507863,1941,63,1
507902,1925,79,3
507905,1955,49,3
507905,1951,53,3
507905,1983,21,3
507905,1986,18,3
507908,1960,44,3
507908,1959,45,1
507908,1984,20,3
507912,1942,62,1
507913,1954,50,3
507913,1981,23,3
507913,1988,16,3
507915,1946,58,3
507915,1943,61,1
507919,1962,42,3
507919,1958,46,2
507919,1988,16,3
507920,1962,42,1
507920,1960,44,1
507920,1992,12,3
507920,1995,9,3
507922,1962,42,2
507922,1936,68,3
507922,1968,36,1
507924,1946,58,3
507924,1943,61,1
507924,1972,32,3
507927,1953,51,3
507927,1947,57,3
507927,1975,29,1
507954,1962,42,1
507954,1955,49,1
507954,1983,21,1
507954,1993,11,3
507998,1950,54,1
507998,1954,50,2
507998,1973,31,1
507998,1980,24,3
508029,1920,84,3
508046,1944,60,2
508046,1945,59,2
508046,1972,32,2
508046,1974,30,3
508152,1955,49,1
508152,1944,60,1
508152,1983,21,3
508152,1985,19,3
508165,1970,34,1
508165,1933,71,3
508165,1935,69,3
508240,1941,63,3
508240,1936,68,3
508305,1935,69,3
508505,1937,67,3
508803,1963,41,1
508809,1968,36,1
508809,1967,37,3
508809,1997,7,3
508809,2000,4,3
508815,1924,80,3
508861,1950,54,1
508861,1952,52,1
508861,1977,27,1
508861,1982,22,3
508922,1959,45,1
508922,1964,40,3
508922,1986,18,3
508922,1989,15,3
508926,1926,78,3
508926,1915,89,3
508932,1952,52,3
508932,1954,50,3
508932,1986,18,3
508934,1951,53,2
508934,1957,47,1
508934,1985,19,3
508934,1987,17,3
508940,1954,50,1
508940,1973,31,1
508941,1929,75,3
508941,1935,69,3
508984,1932,72,3
508994,1950,54,1
508994,1955,49,3
508994,1978,26,3
508994,1984,20,3
508999,1952,52,1
508999,1958,46,3
508999,1982,22,3
508999,1980,24,3
508999,1992,12,3
509003,1949,55,3
509003,1944,60,1
509003,1973,31,3
509003,1984,20,3
509005,1955,49,1
509005,1956,48,3
509005,1981,23,3
509005,1985,19,3
509006,1965,39,2
509054,1937,67,3
509054,1935,69,3
509055,1931,73,3
509057,1951,53,1
509057,1959,45,3
509057,1979,25,1
509057,1980,24,1
509057,1991,13,3
509064,1931,73,3
509064,1934,70,3
509068,1930,74,3
509069,1945,59,3
509069,1947,57,1
509069,1977,27,1
509069,1984,20,1
509071,1943,61,3
509071,1946,58,3
509071,1982,22,3
509074,1957,47,1
509074,1965,39,3
509074,1982,22,3
509074,1986,18,3
509074,1991,13,3
509076,1957,47,1
509076,1961,43,3
509076,1983,21,1
509076,1991,13,3
509076,1995,9,3
509076,2000,4,3
509107,1950,54,1
509107,1964,40,1
509107,1996,8,3
509107,1998,6,3
509108,1966,38,1
509108,1973,31,3
509108,1994,10,3
509108,1998,6,3
509108,2004,0,3
509113,1965,39,1
509113,1971,33,3
509113,1997,7,3
509113,2001,3,3
509117,1973,31,1
509117,1973,31,3
509117,1997,7,3
509120,1967,37,1
509120,1971,33,3
509120,1996,8,3
509120,1998,6,3
509123,1927,77,3
509123,1932,72,3
509139,1953,51,1
509139,1954,50,3
509139,1982,22,3
509139,1990,14,3
509144,1930,74,3
509172,1945,59,1
509172,1954,50,3
509172,1983,21,3
509270,1968,36,1
509270,1972,32,1
509270,1990,14,3
509270,1991,13,3
509270,1995,9,3
509272,1947,57,2
509273,1947,57,2
509273,1958,46,3
509273,1989,15,3
509273,1990,14,3
509273,1995,9,3
509284,1949,55,2
509284,1952,52,2
509284,1979,25,3
509284,1983,21,3
509366,1956,48,1
509366,1950,54,1
509366,1985,19,3
509480,1931,73,3
509480,1941,63,3
509495,1954,50,2
509495,1958,46,3
509495,1979,25,3
509495,1985,19,3
509504,1925,79,3
509504,1928,76,3
509504,1963,41,3
509512,1946,58,3
509512,1951,53,3
509512,1974,30,3
509512,1985,19,3
509516,1952,52,3
509516,1955,49,3
509516,1980,24,1
509516,1981,23,3
509516,1987,17,3
509550,1947,57,1
509550,1949,55,1
509550,1978,26,1
509550,1982,22,3
509550,1924,80,3
509601,1964,40,1
509601,1966,38,3
509601,1988,16,3
509601,1992,12,3
509616,1949,55,3
509616,1949,55,3
509616,1985,19,3
509684,1947,57,3
509684,1950,54,3
509684,1974,30,1
509684,1979,25,3
509689,1956,48,1
509689,1963,41,3
509689,1984,20,2
509689,1987,17,3
509689,2003,1,3
509689,1990,14,3
509693,1925,79,3
509693,1961,43,3
509695,1965,39,3
509695,1964,40,1
509695,1991,13,3
509695,1995,9,3
509697,1939,65,3
509699,1945,59,3
509699,1941,63,3
509701,1965,39,1
509701,1971,33,3
509701,1990,14,3
509701,1992,12,3
509701,2000,4,3
509704,1957,47,1
509704,1956,48,1
509708,1960,44,3
509708,1953,51,1
509708,1982,22,3
509708,1986,18,3
509710,1955,49,2
509710,1956,48,3
509710,1983,21,3
509710,1986,18,3
509712,1976,28,1
509717,1950,54,3
509717,1937,67,3
509717,1974,30,3
509717,1979,25,3
509720,1924,80,3
509725,1952,52,2
509725,1958,46,1
509725,1980,24,3
509725,1982,22,3
509806,1960,44,3
509806,1959,45,1
509806,1987,17,3
509806,1992,12,3
509808,1955,49,1
509847,1951,53,1
509847,1960,44,3
509847,1982,22,3
509847,1986,18,3
509869,1942,62,2
509869,1948,56,3
509869,1974,30,3
509871,1948,56,1
509871,1952,52,1
509871,1983,21,3
509889,1963,41,1
509889,1964,40,3
509889,1990,14,3
509922,1944,60,1
509922,1945,59,3
509922,1975,29,1
509984,1920,84,3
509990,1947,57,3
509990,1942,62,1
509990,1972,32,3
509990,1972,32,1
509994,1965,39,3
509994,1962,42,1
509994,1991,13,3
509997,1965,39,3
509997,1939,65,3
509997,1928,76,3
510001,1932,72,3
510001,1934,70,3
510011,1927,77,3
510014,1933,71,3
510014,1934,70,3
510018,1947,57,1
510018,1975,29,1
510018,1978,26,3
510019,1910,94,3
510019,1914,90,3
510021,1940,64,3
510021,1938,66,3
510024,1922,82,3
510024,1923,81,3
510025,1945,59,3
510025,1918,86,3
510027,1948,56,1
510027,1948,56,3
510027,1978,26,1
510027,1980,24,3
510027,1984,20,3
510039,1920,84,3
510071,1942,62,1
510071,1947,57,3
510089,1945,59,3
510089,1979,25,1
510094,1955,49,3
510094,1929,75,3
510094,1951,53,1
510094,1980,24,1
510094,1982,22,1
510097,1949,55,3
510097,1923,81,3
510097,1947,57,3
510108,1947,57,3
510109,1934,70,3
510109,1942,62,3
510112,1927,77,3
510112,1931,73,3
510112,1962,42,3
510114,1937,67,3
510173,1951,53,1
510173,1952,52,1
510173,1979,25,3
510173,1985,19,3
510177,1936,68,3
510177,1942,62,3
510181,1928,76,3
510181,1924,80,3
510186,1923,81,3
510195,1926,78,3
510195,1928,76,3
510210,1934,70,3
510210,1937,67,3
510210,1963,41,3
510210,1970,34,1
510220,1942,62,3
510224,1964,40,3
510224,1956,48,3
510224,1994,10,3
510224,1992,12,3
510231,1941,63,3
510231,1944,60,3
510231,1969,35,3
510231,1970,34,1
510231,1940,64,3
510232,1939,65,3
510239,1967,37,1
510239,1965,39,1
510239,1997,7,3
510239,1999,5,3
510241,1922,82,3
510241,1928,76,3
510241,1952,52,1
510244,1943,61,3
510244,1950,54,1
510244,1975,29,3
510244,1977,27,2
510245,1941,63,3
510245,1944,60,3
510329,1969,35,3
510329,1962,42,3
510329,1991,13,3
510329,1998,6,3
510344,1937,67,3
510344,1979,25,3
510344,1980,24,3
510345,1974,30,3
510345,1970,34,1
510345,1990,14,3
510345,1995,9,3
510345,2000,4,3
510356,1959,45,2
510356,1939,65,3
510356,1988,16,3
510374,1965,39,2
510374,1964,40,1
510374,1988,16,3
510374,1990,14,3
510398,1930,74,3
510398,1930,74,3
510432,1928,76,3
510432,1933,71,3
510432,1959,45,1
510433,1957,47,1
510433,1956,48,1
510433,1984,20,3
510433,1987,17,3
510437,1939,65,3
510437,1943,61,3
510437,1978,26,1
510439,1949,55,3
510439,1953,51,2
510439,1977,27,1
510439,1980,24,2
510493,1937,67,3
510493,1941,63,3
510515,1937,67,3
510515,1946,58,3
510525,1956,48,1
510525,1964,40,2
510525,1989,15,3
510535,1945,59,1
510535,1954,50,1
510535,1978,26,3
510535,1979,25,3
510535,1983,21,3
510538,1927,77,3
510555,1935,69,3
510555,1935,69,3
510572,1925,79,3
510587,1927,77,3
510604,1936,68,3
510604,1952,52,3
510604,1972,32,3
510604,1976,28,3
510634,1942,62,1
510634,1924,80,3
510634,1908,96,3
510637,1942,62,3
510637,1941,63,3
510637,1969,35,1
510637,1979,25,3
510679,1933,71,3
510679,1928,76,3
510679,1962,42,3
510977,1960,44,2
510977,1962,42,3
510977,1988,16,3
510977,1990,14,3
510984,1953,51,3
510984,1956,48,1
510984,1983,21,3
510984,1990,14,3
510989,1972,32,1
510989,1972,32,3
510989,1998,6,3
510989,1999,5,3
511059,1928,76,3
511074,1937,67,3
511074,1942,62,3
511085,1936,68,3
511085,1939,65,3
511098,1924,80,3
511098,1926,78,3
511103,1927,77,3
511114,1912,92,3
511114,1916,88,3
511116,1951,53,2
511116,1966,38,3
511116,1932,72,3
511123,1922,82,3
511123,1927,77,3
511130,1929,75,3
511130,1935,69,3
511136,1956,48,1
511136,1960,44,3
511136,1996,8,3
511147,1956,48,1
511147,1960,44,3
511147,1986,18,3
511147,1989,15,3
511160,1944,60,2
511160,1951,53,2
511165,1945,59,3
511165,1953,51,3
511165,1973,31,1
511165,1977,27,3
511166,1935,69,3
511166,1946,58,3
511170,1952,52,3
511170,1949,55,3
511170,1978,26,3
511170,1979,25,3
511260,1948,56,1
511307,1932,72,3
511307,1961,43,3
511315,1951,53,1
511315,1956,48,3
511342,1957,47,1
511344,1949,55,1
511344,1955,49,3
511352,1959,45,1
511352,1962,42,3
511352,1985,19,3
511352,1990,14,3
511352,1993,11,3
511354,1934,70,3
511354,1947,57,3
511354,1981,23,3
511355,1950,54,1
511355,1953,51,3
511355,1980,24,3
511355,1982,22,3
511356,1958,46,2
511356,1960,44,2
511356,1986,18,3
511356,1988,16,3
511365,1976,28,1
511365,1977,27,3
511365,1995,9,3
511365,2001,3,3
511367,1949,55,1
511367,1956,48,3
511367,1977,27,3
511367,1980,24,3
511375,1924,80,3
511387,1944,60,3
511387,1950,54,1
511416,1930,74,3
511419,1921,83,3
511424,1945,59,3
511424,1941,63,3
511424,1971,33,2
511431,1938,66,3
511431,1938,66,3
511435,1935,69,3
511435,1936,68,3
511438,1923,81,3
511443,1954,50,1
511443,1957,47,3
511443,1983,21,3
511443,1986,18,3
511451,1952,52,3
511451,1946,58,2
511451,1990,14,3
511451,1992,12,3
511474,1957,47,1
511474,1963,41,3
511474,1985,19,3
511474,1986,18,3
511474,1994,10,3
511489,1959,45,3
511489,1954,50,1
511489,1980,24,1
511489,1981,23,1
511489,1988,16,3
511491,1939,65,3
511491,1935,69,3
511491,1977,27,3
511494,1936,68,3
511494,1943,61,3
511495,1951,53,1
511495,1958,46,3
511495,1981,23,3
511500,1931,73,3
511500,1937,67,3
511500,1974,30,3
511501,1933,71,3
511501,1941,63,3
511506,1952,52,1
511506,1959,45,3
511506,1980,24,3
511506,1984,20,3
511506,1992,12,3
511507,1960,44,2
511507,1964,40,1
511507,1991,13,3
511507,1993,11,3
511519,1930,74,3
511519,1930,74,3
511519,1950,54,3
511521,1931,73,3
511521,1907,97,3
511525,1952,52,3
511525,1950,54,3
511525,1985,19,3
511616,1940,64,3
511616,1941,63,3
511616,1966,38,1
511624,1941,63,1
511624,1947,57,3
511629,1946,58,3
511629,1950,54,3
511629,1975,29,3
511654,1933,71,3
511654,1940,64,3
511757,1950,54,1
511757,1955,49,3
511862,1952,52,1
511862,1954,50,3
511862,1982,22,3
511862,1990,14,3
511942,1928,76,3
511942,1933,71,3
511987,1942,62,3
511987,1945,59,3
512062,1926,78,3
512143,1922,82,3
512190,1949,55,1
512190,1975,29,3
512190,1978,26,3
512199,1934,70,3
512201,1938,66,3
512201,1941,63,3
512201,1979,25,3
512211,1955,49,3
512211,1974,30,1
512211,1980,24,3
512330,1952,52,2
512330,1955,49,3
512330,1981,23,3
512330,1990,14,3
512331,1952,52,2
512331,1959,45,3
512331,1979,25,1
512331,1984,20,3
512331,1998,6,3
512368,1946,58,3
512368,1954,50,3
512368,1978,26,3
512368,1984,20,3
512368,1984,20,3
512372,1940,64,3
512372,1912,92,3
512372,1934,70,3
512382,1944,60,1
512382,1953,51,3
512382,1974,30,1
512406,1961,43,1
512406,1967,37,2
512406,1995,9,3
512411,1967,37,2
512411,1972,32,3
512411,1997,7,3
512411,1999,5,3
512417,1929,75,3
512420,1951,53,2
512420,1963,41,3
512420,1983,21,3
512420,1989,15,3
512433,1952,52,3
512433,1957,47,3
512433,1998,6,3
512433,2000,4,3
512437,1926,78,3
512437,1933,71,3
512444,1957,47,1
512444,1987,17,3
512444,1989,15,3
512452,1969,35,1
512452,1971,33,3
512452,1994,10,3
512452,1998,6,3
512457,1944,60,2
512457,1947,57,3
512457,1968,36,3
512457,1973,31,3
512459,1960,44,1
512459,1961,43,2
512459,1995,9,3
512459,1998,6,3
512460,1944,60,1
512460,1950,54,3
512460,1982,22,3
512517,1968,36,1
512517,1959,45,1
